date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:02:26	67284/67284	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Jul%202015%2008:22:19%20GMT	http://lab.westilian.com/matmix-admin/list-view/tables.html	D:/nodejs/Appraisals/lab.westilian.com/matmix-admin/list-view/tables.html	(from )
04:02:26	745/745	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2012%20Apr%202017%2007:54:22%20GMT	http://lab.westilian.com/robots.txt		(from )
04:02:28	28747/28747	---MCZ	200	added ('OK')	text/css	date:Wed,%2022%20Jul%202015%2009:07:46%20GMT	http://lab.westilian.com/matmix-admin/list-view/css/font-awesome.css	D:/nodejs/Appraisals/lab.westilian.com/matmix-admin/list-view/css/font-awesome.css	(from http://lab.westilian.com/matmix-admin/list-view/tables.html)
04:02:29	25946/25946	---MCZ	200	added ('OK')	text/css	date:Wed,%2022%20Jul%202015%2009:07:46%20GMT	http://lab.westilian.com/matmix-admin/list-view/css/animate.css	D:/nodejs/Appraisals/lab.westilian.com/matmix-admin/list-view/css/animate.css	(from http://lab.westilian.com/matmix-admin/list-view/tables.html)
04:02:29	146360/146360	---MCZ	200	added ('OK')	text/css	date:Wed,%2022%20Jul%202015%2009:07:48%20GMT	http://lab.westilian.com/matmix-admin/list-view/css/bootstrap.css	D:/nodejs/Appraisals/lab.westilian.com/matmix-admin/list-view/css/bootstrap.css	(from http://lab.westilian.com/matmix-admin/list-view/tables.html)
04:02:30	2980/2980	---MCZ	200	added ('OK')	text/css	date:Wed,%2022%20Jul%202015%2009:07:33%20GMT	http://lab.westilian.com/matmix-admin/list-view/css/waves.css	D:/nodejs/Appraisals/lab.westilian.com/matmix-admin/list-view/css/waves.css	(from http://lab.westilian.com/matmix-admin/list-view/tables.html)
04:02:30	33061/33061	---MCZ	200	added ('OK')	text/css	date:Wed,%2022%20Jul%202015%2009:07:47%20GMT	http://lab.westilian.com/matmix-admin/list-view/css/layout.css	D:/nodejs/Appraisals/lab.westilian.com/matmix-admin/list-view/css/layout.css	(from http://lab.westilian.com/matmix-admin/list-view/tables.html)
04:02:31	123518/123518	---MCZ	200	added ('OK')	text/css	date:Fri,%2024%20Jul%202015%2006:50:25%20GMT	http://lab.westilian.com/matmix-admin/list-view/css/components.css	D:/nodejs/Appraisals/lab.westilian.com/matmix-admin/list-view/css/components.css	(from http://lab.westilian.com/matmix-admin/list-view/tables.html)
04:02:32	7762/7762	---MCZ	200	added ('OK')	text/css	date:Fri,%2024%20Jul%202015%2009:32:01%20GMT	http://lab.westilian.com/matmix-admin/list-view/css/common-styles.css	D:/nodejs/Appraisals/lab.westilian.com/matmix-admin/list-view/css/common-styles.css	(from http://lab.westilian.com/matmix-admin/list-view/tables.html)
04:02:32	203498/203498	---MCZ	200	added ('OK')	text/css	date:Wed,%2022%20Jul%202015%2009:07:48%20GMT	http://lab.westilian.com/matmix-admin/list-view/css/plugins.css	D:/nodejs/Appraisals/lab.westilian.com/matmix-admin/list-view/css/plugins.css	(from http://lab.westilian.com/matmix-admin/list-view/tables.html)
